ID,Position,Throughput,Delay,Cost
s0,"(91, 45)",15,2,0.6
s1,"(14, 95)",15,2,0.6
s2,"(66, 5)",15,2,0.6
s3,"(84, 66)",10,2,0.5
s4,"(21, 85)",25,1,0.9
s5,"(55, 98)",10,2,0.5
s6,"(55, 57)",15,2,0.6
s7,"(16, 26)",15,2,0.6
s8,"(91, 63)",10,2,0.5
s9,"(60, 6)",25,1,0.9
s10,"(80, 24)",15,2,0.6
s11,"(17, 75)",10,2,0.5
s12,"(35, 89)",10,2,0.5
s13,"(44, 57)",15,2,0.6
s14,"(15, 3)",15,2,0.6
s15,"(80, 100)",15,2,0.6
s16,"(20, 83)",25,1,0.9
s17,"(27, 48)",25,1,0.9
s18,"(59, 25)",10,2,0.5
s19,"(49, 87)",20,1,0.8
s20,"(43, 2)",25,1,0.9
s21,"(60, 1)",15,2,0.6
s22,"(12, 5)",25,1,0.9
s23,"(74, 29)",25,1,0.9
s24,"(21, 4)",15,2,0.6
c0,"(30, 87)",150,2,0.5
c1,"(63, 13)",100,2,0.5
c2,"(86, 68)",150,2,0.5
c3,"(16, 9)",150,2,0.5
c4,"(42, 54)",125,1,0.5
