ID,Position,Throughput,Delay,Cost
s0,"(96, 29)",15,2,0.6
s1,"(77, 27)",20,1,0.8
s2,"(65, 77)",25,1,0.9
s3,"(74, 79)",20,1,0.8
s4,"(83, 3)",20,1,0.8
s5,"(82, 91)",25,1,0.9
s6,"(21, 65)",15,2,0.6
s7,"(21, 74)",10,2,0.5
s8,"(48, 59)",25,1,0.9
s9,"(98, 47)",20,1,0.8
s10,"(59, 10)",25,1,0.9
s11,"(23, 86)",10,2,0.5
s12,"(63, 53)",25,1,0.9
s13,"(65, 48)",15,2,0.6
s14,"(52, 10)",25,1,0.9
s15,"(77, 88)",15,2,0.6
s16,"(0, 34)",25,1,0.9
s17,"(40, 67)",15,2,0.6
s18,"(47, 69)",20,1,0.8
s19,"(56, 57)",25,1,0.9
s20,"(11, 70)",10,2,0.5
s21,"(26, 45)",25,1,0.9
s22,"(86, 3)",15,2,0.6
s23,"(6, 5)",10,2,0.5
s24,"(21, 69)",25,1,0.9
c0,"(78, 18)",175,1,0.5
c1,"(19, 72)",150,2,0.5
c2,"(74, 83)",150,2,0.5
c3,"(10, 28)",150,2,0.5
c4,"(53, 58)",175,1,0.5
