ID,Position,Throughput,Delay,Cost
s0,"(94, 66)",20,1,0.8
s1,"(43, 81)",15,2,0.6
s2,"(67, 82)",15,2,0.6
s3,"(36, 3)",20,1,0.8
s4,"(71, 30)",15,2,0.6
s5,"(65, 55)",10,2,0.5
s6,"(24, 7)",20,1,0.8
s7,"(54, 77)",20,1,0.8
s8,"(0, 99)",15,2,0.6
s9,"(66, 16)",20,1,0.8
s10,"(20, 25)",20,1,0.8
s11,"(3, 2)",10,2,0.5
s12,"(4, 68)",20,1,0.8
s13,"(54, 94)",15,2,0.6
s14,"(69, 25)",20,1,0.8
s15,"(41, 95)",25,1,0.9
s16,"(61, 39)",25,1,0.9
s17,"(24, 60)",15,2,0.6
s18,"(23, 31)",10,2,0.5
s19,"(13, 6)",10,2,0.5
s20,"(33, 75)",15,2,0.6
s21,"(64, 23)",15,2,0.6
s22,"(64, 35)",15,2,0.6
s23,"(76, 60)",25,1,0.9
s24,"(13, 65)",20,1,0.8
c0,"(19, 12)",175,1,0.5
c1,"(48, 84)",100,2,0.5
c2,"(65, 28)",125,1,0.5
c3,"(10, 73)",125,1,0.5
c4,"(78, 60)",175,1,0.5
